[Script Info]
; Script generated by Aegisub 2.1.8
; http://www.aegisub.org/
Title:YYeTs
Original Script:YYeTs
Synch Point:1
ScriptType: v4.00+
Collisions:Normal
Timer:100.0000
Video File: Modern.Family.S03E24.HDTV.x264-LOL.avi
Video Aspect Ratio: 0
Video Zoom: 8
Video Position: 4597
Audio File: Modern.Family.S03E24.HDTV.x264-LOL.avi

[V4+ Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, OutlineColour, BackColour, Bold, Italic, Underline, StrikeOut, ScaleX, ScaleY, Spacing, Angle, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, Encoding
Style: Default,方正黑体简体,20,&H00FFFFFF,&HF0000000,&H00000000,&H32000000,0,0,0,0,100,100,0,0,1,2,1,2,5,5,2,134

[Events]
Format: Layer, Start, End, Style, Name, MarginL, MarginR, MarginV, Effect, Text
Dialogue: 0,0:05:08.51,0:05:10.22,*Default,NTP,0000,0000,0000,,用奸笑迷惑她
Dialogue: 0,0:05:10.29,0:05:11.64,*Default,NTP,0000,0000,0000,,紧急情况下  砸破车窗
Dialogue: 0,0:05:11.64,0:05:13.00,*Default,NTP,0000,0000,0000,,露出我迷人的酒窝
Dialogue: 0,0:05:13.00,0:05:15.32,*Default,NTP,0000,0000,0000,,那不是天花留下的疤吗
Dialogue: 0,0:05:15.32,0:05:18.96,*Default,NTP,0000,0000,0000,,{\an8}{\fn方正黑体简体\fs18\b1\bord1\shad1\3c&H2F2F2F&}[天花在美国很早就已灭绝]
Dialogue: 0,0:05:15.32,0:05:17.74,*Default,NTP,0000,0000,0000,,你当我100岁了啊  是水痘
Dialogue: 0,0:05:17.78,0:05:18.88,*Default,NTP,0000,0000,0000,,是什么留下的疤不重要
Dialogue: 0,0:05:18.88,0:05:20.35,*Default,NTP,0000,0000,0000,,管用就行了
Dialogue: 0,0:05:20.64,0:05:21.31,*Default,NTP,0000,0000,0000,,妈我回来了
Dialogue: 0,0:05:21.31,0:05:23.57,*Default,NTP,0000,0000,0000,,曼尼  你怎么这么晚才从学校回来
Dialogue: 0,0:05:23.57,0:05:24.99,*Default,NTP,0000,0000,0000,,我被叫到校长办公室去了
Dialogue: 0,0:05:24.99,0:05:26.84,*Default,NTP,0000,0000,0000,,我要发电子邮件骂他去
Dialogue: 0,0:05:26.84,0:05:27.86,*Default,NTP,0000,0000,0000,,因为我不知道什么时候
Dialogue: 0,0:05:27.86,0:05:29.09,*Default,NTP,0000,0000,0000,,不不不  不是他的错
Dialogue: 0,0:05:29.09,0:05:31.17,*Default,NTP,0000,0000,0000,,-你做错了什么事  -没有
Dialogue: 0,0:05:31.17,0:05:32.61,*Default,NTP,0000,0000,0000,,就这样定了  我给他打电话
Dialogue: 0,0:05:32.61,0:05:34.89,*Default,NTP,0000,0000,0000,,-我讨厌他故意  -不是故意的
Dialogue: 0,0:05:34.90,0:05:37.75,*Default,NTP,0000,0000,0000,,下课时  在一场大考之前
Dialogue: 0,0:05:37.75,0:05:39.36,*Default,NTP,0000,0000,0000,,{\an8}{\fn方正黑体简体\fs18\b1\bord1\shad1\3c&H2F2F2F&}[美国著名演员  导演]
Dialogue: 0,0:05:37.75,0:05:39.36,*Default,NTP,0000,0000,0000,,我在练习吉恩·凯利的舞步
Dialogue: 0,0:05:39.36,0:05:40.88,*Default,NTP,0000,0000,0000,,来排除杂念
Dialogue: 0,0:05:40.88,0:05:42.78,*Default,NTP,0000,0000,0000,,-竟然真有人那样做  -没错
Dialogue: 0,0:05:42.97,0:05:45.48,*Default,NTP,0000,0000,0000,,我的雨伞不小心勾到了火警警报
Dialogue: 0,0:05:45.48,0:05:46.84,*Default,NTP,0000,0000,0000,,校长以为我是故意这样做
Dialogue: 0,0:05:46.84,0:05:48.91,*Default,NTP,0000,0000,0000,,-为的是逃避考试  -但你不是
Dialogue: 0,0:05:48.91,0:05:50.18,*Default,NTP,0000,0000,0000,,就这样  我要找他去
Dialogue: 0,0:05:50.18,0:05:52.32,*Default,NTP,0000,0000,0000,,妈  你千万别这样
Dialogue: 0,0:05:52.32,0:05:53.67,*Default,NTP,0000,0000,0000,,我不知道是不是因为怀孕
Dialogue: 0,0:05:53.67,0:05:55.97,*Default,NTP,0000,0000,0000,,当然  怀孕并不是你的错
Dialogue: 0,0:05:58.07,0:05:59.44,*Default,NTP,0000,0000,0000,,但最近你总是很暴脾气
Dialogue: 0,0:05:59.44,0:06:02.25,*Default,NTP,0000,0000,0000,,我不是暴脾气  我是哥伦比亚人
Dialogue: 0,0:06:02.25,0:06:03.26,*Default,NTP,0000,0000,0000,,我们这叫兴奋
Dialogue: 0,0:06:03.26,0:06:05.58,*Default,NTP,0000,0000,0000,,我们国家长满了咖啡
Dialogue: 0,0:06:05.58,0:06:06.57,*Default,NTP,0000,0000,0000,,就像那个听错了你订单的星巴克店员  
Dialogue: 0,0:06:06.57,0:06:07.76,*Default,NTP,0000,0000,0000,,也被你泼的满身都是咖啡吗
Dialogue: 0,0:06:07.77,0:06:09.80,*Default,NTP,0000,0000,0000,,半"咖灰"  无脂  "丝豆辣铁"
Dialogue: 0,0:06:09.80,0:06:12.07,*Default,NTP,0000,0000,0000,,这很难听清吗
Dialogue: 0,0:06:20.81,0:06:22.44,*Default,NTP,0000,0000,0000,,不按常规思考的人不可能
Dialogue: 0,0:06:22.44,0:06:25.21,*Default,NTP,0000,0000,0000,,两次夺得年度跨区域推销员称号的
Dialogue: 0,0:06:25.21,0:06:27.72,*Default,NTP,0000,0000,0000,,没错  我说的就是  按常规
Dialogue: 0,0:06:27.91,0:06:28.94,*Default,NTP,0000,0000,0000,,知道为什么吗  因为当每个人
Dialogue: 0,0:06:28.94,0:06:30.82,*Default,NTP,0000,0000,0000,,都试图打破常规时
Dialogue: 0,0:06:30.82,0:06:32.40,*Default,NTP,0000,0000,0000,,你知道常规是什么吗
Dialogue: 0,0:06:33.67,0:06:34.74,*Default,NTP,0000,0000,0000,,常规里空无一人
Dialogue: 0,0:06:35.56,0:06:38.55,*Default,NTP,0000,0000,0000,,现在我们又回到了正式的用餐室
Dialogue: 0,0:06:38.55,0:06:39.92,*Default,NTP,0000,0000,0000,,有什么问题吗
Dialogue: 0,0:06:39.92,0:06:41.59,*Default,NTP,0000,0000,0000,,可以给我们糖果了吗
Dialogue: 0,0:06:41.59,0:06:42.66,*Default,NTP,0000,0000,0000,,想要糖果很简单
Dialogue: 0,0:06:42.67,0:06:44.36,*Default,NTP,0000,0000,0000,,先重复一遍回去后要跟爸妈说的话
Dialogue: 0,0:06:44.36,0:06:47.70,*Default,NTP,0000,0000,0000,,-我们的风格是什么  -战前工匠
